name,n_issues,nh_length
"Harper Avenue",7,0.2555485535523737
"Jefferson Street",15,0.05275505837236145
"Asylum Street",23,0.09970578753297329
"South End Road",3,0.1812154616611981
"Pardee Place",23,0.03134560275725201
"Sea Street",62,0.5185994547210167
"Center Street",11,0.1046627059276153
"Nicoll Street",122,0.3493866555719363
"Goodyear Street",22,0.07923575795901283
"Rowe Street",17,0.1500756638593782
"Oxford Street",10,0.1812281202424713
"Dayton Street",26,0.03950647972337645
"Farnham Avenue",8,0.3001206639961705
"West Park Avenue",67,0.2851546065824784
"Foxon Street",9,0.1483648289111437
"Park Avenue",1,0.179527053233752
"Autumn Street",29,0.1244106612689273
"Dorman Street",43,0.2724491263274823
"Emerson Street",26,0.109554222385015
"Clifton Street",59,0.8160521870843724
"River Street",19,0.6485869191220391
"Beech Street",1,0.04332094818204557
"Eastern Street",83,0.4424630728240607
"Rock View Terrace",5,0.1081604708571019
"Tower Parkway",25,0.6000186693063894
"Wilcox Place",14,0.09690349436226037
"Plymouth Street",38,0.1755069905688494
"Gando Drive",10,0.3689871046893157
"Warwick Street",24,0.2263308481586471
"York Street",109,0.5168018138418995
"John W Murphy Drive",18,0.2524125139328114
"Stanley Street",36,0.2378527700974831
"Cassius Street",15,0.1461878882927042
"Mill Street",8,0.04930479057480478
"Ferry Street",187,0.624744238537659
"Lake Place",18,0.2504082280252152
"University Place",18,0.1104889541113035
"Lawncrest Road",52,0.4109376028138239
"Ley Street",16,0.2839209859490321
"Brookside Avenue",9,0.4897232006324653
"Munson Street",68,1.015470772163128
"West Elm Street",52,0.7095280950778236
"Cooper Place",18,0.2763853675709462
"May Street",1,0.09102334217447093
"Waterfront Street",14,0.1805361945059251
"Stevens Street",32,0.1393638957667305
"Plant Street",6,0.1075060349447492
"South Street",1,0.03541095551088368
"Phillip Street",4,0.1009346252055514
"Middletown Avenue",46,2.145740560711857
"Lewis Street",26,0.02939262953405758
"Townsend Street",9,0.03965890040573857
"Ramsdell Street",40,0.2945843153295444
"Lighthouse Road",44,0.607674332667128
"Laura Street",3,0.149484451742761
"Hobart Street",63,0.2008621500852043
"Rosette Street",46,0.6157202118066677
"Forest Road",56,0.4080281024658212
"Uriah Street",3,0.09024306951572775
"Hallock Avenue",89,0.206384793979023
"Foote Street",10,0.3498311856287878
"Sunset Drive",1,0.1691877588682391
"Victory Drive",35,0.1596160435471589
"Emily Road",12,0.2318817543162756
"East Street",88,0.3855839905388088
"Barnes Avenue",26,0.4487887951250278
"Hilltop Road",27,0.1426086347055006
"1st Avenue",16,0.1381223295793206
