name,length
"Onyx Street",0.06490405381104766
"Morris Cove Road",0.05509627264919795
"West Division Street",0.1204706574043464
"Weybosset Street",0.5705583789479204
"Westwood Road",0.4833634567072684
"Anita Street",0.2326573272866298
"Roydon Road",0.1686189204075463
"4th Street",0.1878715447087615
"Market Street",0.3474226499080039
"Burns Street",0.1078642973270429
"Avon Street",0.3236677247328397
"King Place",0.06959485520610646
"Lombard Street",1.165063921835878
"Brownell Street",0.1814069668433263
"Hard Street",0.1307071690430498
"Hine Place",0.09738936974647078
"Artizan Street",0.06505579125915358
"Goodwin Street",0.1753589463561931
"Carroll Street",0.06396549805413342
"Minor Street",0.1664456615893589
"Main Street",0.1046470088114088
"Dell Drive",0.06360378078812076
"Palmieri Avenue",0.111795809116645
"Eldert Street",0.1894956331530823
"Pine Rock Road",0.1047156610655624
"Chester Street",0.2551335076058205
"Welcome Street",0.09172254167315146
"Alfred Street",0.1322926689420433
"Hall Street",0.4851018231190444
"Townsend Terrace",0.4158746214615643
"Waverly Street",0.04794844067890103
"Elizabeth Street",0.265913187384094
"Sylvan Avenue",0.6251385199952327
"Connecticut Avenue",0.181355584719251
"Stone Street",0.07311213205953458
"Pierpont Street",0.3100684792465607
"Westminster Street",0.2470324942452398
"East Ramsdell Street",0.2837564282528586
"Kimberly Avenue",0.3958840418093788
"Prospect Avenue",0.05171340837434085
"Parker Place",0.25348933923602
"Yale Avenue",0.5402933273523131
"Dixwell Avenue",0.5761213565939362
"West Read Street",0.1405526986408796
"Mill River Street",0.07655502496157009
"Barnett Street",0.1385054082134868
"Knollwood Drive",0.2937008880761126
"Norwood Road",0.1023418146634061
"Brewery Street",0.5817975429529771
"Shelton Avenue",0.4048099664165755
"Wolcott Street",0.6762546508908476
"Glen Haven Road",0.5271025616224452
"Glen Street",0
"Pardee Street",0.07573837825432474
"Marlin Drive",0.07983124632636658
"Liberty Street",0.147850184068136
"Prospect Street",0.6236767192926638
"Fulton Terrace",0.1947799649385063
"Huntington Road",0.09033172040561629
"Columbus Avenue",1.354317880470777
"Bright Street",0.08283623839245707
"West Hazel Street",0.1914354529590807
"Pawtucket Street",0.129752092691176
"Orange Street",1.343857770661499
"Cliff Street",0.3673007113462436
"Smith Avenue",0.381822223377221
"Thompson Street",0.5397572468015777
"Kendall Street",0.3344871377765802
"Shepard Avenue",0.1794553002000198
"Temple Street",0.6225582128059837
"Ogden Street",0.5072531516547361
"Massachusetts Avenue",0.1204580647081562
"Henry Street",0.6402459177499092
"State Street",2.083891963814012
"Truman Street",0.2601054259984883
"Austin Street",0.09698785872035715
"Tolli Terrace",0.1216162188199607
"Perkins Street",0.07894818464385069
"Ruby Street",0.1155855288371068
"Level Street",0.05607109359757767
"Whalley Avenue",3.242171099275227
"Hughes Place",0.02270450028850417
"Brewster Street",0.2337633432966855
"Maltby Street",0.1048277773175306
"Glen Road",0.5973036968976988
"George Street",1.782230297586992
"Chestnut Street",0.06454341740594721
"2nd Street",0.2928956607659243
"Willis Street",0.3138344975651159
"Park Street",0.4136400093756181
"Dickerman Street",0.2394817432056863
"Crofton Street",0.1744648650061402
"Clover Place",0.1354509839121684
"Wooster Place",0.03897942902562713
"Carlisle Street",0.3322039313932055
"Wintergreen Avenue",1.400467777921947
"West Ivy Street",0.1913714878312911
"Gibbs Street",0.2178461533950691
"Leroy Terrace",0.02300941266735506
"Autumn Street",0.1244106612689273
"Cross Street",0.111165985585282
"5th Street",0.1889375888190093
"Meadow View Road",0.3738437856265995
"Leila Street",0.09538738863976937
"Lakeview Terrace",0.1600388123697325
"Peck Street",1.089296583347568
"Moreland Road",0.372548541229855
"Pine Street",0.8963489955249189
"Cold Spring Street",0.4147771598112689
"Lamberton Street",0.6990804281153663
"Woodland Street",0.1331102666425042
"Webster Street",0.5700411888896391
"Long Hill Terrace",0.136439141530975
"Elmwood Road",0.2258882899951231
"Garden Street",0.05390100869522887
"Fowler Street",0.2711998316390012
"Sachem Street",0.4251018755690519
"William Street",0.2364818922720771
"Kenny Drive",0.3701722224320515
"Donna Drive",0.1401044328249968
"Farren Avenue",0.1570649637391444
"Kossuth Street",0.1016034826923523
"Hemingway Place",0.1631045983363025
"Highland Street",0.794952258099678
"Howe Street",0.3566301757278877
"Ray Road",0.4009101016973596
"Daisy Street",0.1874728988079634
"Wayfarer Street",0.3838217118083179
"Shoreham Road",0.1030788573617655
"Glenview Terrace",0.3508537230883438
"Beecher Place",0.1448896204907089
"Wilmot Road",0
"Rosewood Avenue",0.1120487994074941
"Harrington Avenue",0.1703762198908854
"Robertson Street",0.09355060626018288
"Loomis Place",0.09332254318123155
"Hudson Street",0.1421978705373393
"Woodbridge Avenue",0.2858210296340508
"Bradley Street",0.4108544273951582
"Horsley Avenue",0.04302201483501147
"Lander Street",0.1465709174403212
"Hubinger Street",0.1885759440695825
"Batter Terrace",0.04006104093526264
"North Bank Street",0.0727502974365092
"Anderson Street",0.1429500214364035
"Monroe Street",0.2076275859631774
"Putnam Street",0.4254056625850727
"Norton Street",0.4402139633391048
"Franklin Street",0.2633092460966003
"Grant Street",0.210327875976502
"Lighthouse Point Terrace",0.08006168202628609
"Lexington Avenue",0.5997139551095942
"Argonne Street",0.1081750486929486
"Whittier Road",0.287626260195623
"Arden Street",0.1206380090564462
"Vine Street",0.04236497985164366
"Forbes Avenue",1.642149721598796
"Blake Street",0.7814490596670818
"Chatham Street",0.769621908603336
"Chamberlain Place",0.07482972515383221
"Strong Street",0.1012811792542459
"Goffe Terrace",0.6671231922830291
"Curtis Drive",0.454537491725488
"Clay Street",0.6344900802690577
"Wellington Road",0.1168573506035707
"Crown Street",0.8820236212387018
"Kingswood Drive",0.1600969460712967
"Humphrey Street",1.219550194459744
"Wheeler Street",0.1791556342950898
"Cedar Street",0.4032845756816413
"Clarendon Street",0.2058733463441402
"Maplewood Road",0.07520791578006163
"Dyer Street",0.7525483076643857
"Gilbert Street",0.1170366946457206
"Columbia Drive",0
"Newhall Street",0.2573993078046689
"Constance Baker Motley Street",0.08253972394013633
"Frederick Street",0.250704393896455
"Legion Avenue",1.044850677674863
"Greenwich Avenue",0.2219063514762855
"Meadow Street",0.04004688588416032
"John Williamson Drive",0.08974772942744913
"Milton Street",0.1617582561212566
"Maltby Place",0.03771997960463681
"Ford Street",0.1625886622628432
"Westerleigh Road",0.2838441614794638
"Revere Street",0.1153552522527076
"Fox Street",0.1067533555343522
"Fitch Street",1.160073781536956
"Starr Street",0.7016030678777457
"1st Street",0.2346229683910507
"Rock Hill Road",0.09010471307228685
"Saltonstall Avenue",0.6818528189972652
"Russell Street",1.108870312009489
"North Frontage Road",0.457429881644533
"South Water Street",0.2730206834967846
"Orange Avenue",0.1240814564979359
"West Hills Road",0.0931012011423453
"Pitkin Street",0.02447758433215916
"Elizabeth Ann Drive",0.1394110037644929
"Parkside Drive",0.2059510457542334
"Canner Street",1.066098973603827
"Sperry Street",0.06344869536347288
"Fair Street",0.2555148137753888
"Daggett Street",0.1712315992169128
"Edgehill Road",0.1378383283534889
"Woodside Terrace",0.04930736545308607
"Green Hill Terrace",0.2174092854633571
"Hervey Street",0.2409162221284187
"Prince Street",0.07040446936468957
"Aner Street",0.183474612396368
"Redfield Street",0.1229750876689235
"Cabot Street",0.0918248627403688
"Cold Spring Road",0
"Irvington Street",0.313716048732599
"Kohary Drive",0.2739793333860653
"Hawthorne Road",0.05932995897691758
"Pleasant Street",0.08622631493983593
"Fiore Street",0.08968592761162533
"South Orange Street",0.1328315685358962
"Benton Street",0.07233536565415717
"Judwin Avenue",0.5927162392100146
"Lloyd Street",0.2019659363409148
"Foster Street",0.3627331907472415
"Mechanic Street",0.1981410482762794
"East Grand Avenue",0.6515628298560004
"Marin Road",0.0482321402872364
"Albert Street",0.140328681039678
"Dwight Street",0.3809512104661048
"Cave Street",0.1527835404738744
"Bristol Place",0.05230020633873703
"Beacon Street",0
"Church Street",0.637480291310187
"Orchard Place",0.1419222592037589
"Sherman Avenue",1.080492036411978
"Welton Street",0.1136363335559731
"Hillhouse Avenue",0.1525345039464147
"Howard Avenue",0.7518805611941241
"Fairmont Avenue",0.2844030139579769
"Myron Street",0.3229275631314654
"Hotchkiss Street",0.06343578327188648
"Winchester Avenue",0.6043210219638867
"Sheffield Avenue",0.1877585973034657
"Parmelee Avenue",0.3564732405877878
"Anthony Street",0.1532071856685678
"Fulton Street",0.462977559795916
"Old Foxon Road",0.06811128922558231
"Whitney Avenue",0.8238037335950938
"Woolsey Street",0.4261200736283416
"Conrad Drive",0.7235529903444891
"Willow Street",1.0796406661189
"Jefferson Street",0.05275505837236145
"Livingston Street",0.5061122064255548
"Edgar Street",0.03685762986171238
"Colony Road",0.3082192133830997
"Lyon Street",0.279756764943439
"Clinton Avenue",0.3225834062336465
"Union Street",0.1261527037189711
"Lawrence Street",0.8191651886101224
"Alden Street",0.1047700422269603
"Downes Street",0.03782310658609497
"Pond Street",0.2664686997846735
"Congress Avenue",1.304457656409556
"Hemingway Street",0.4424295996939174
"Hamilton Street",0.2257308025497653
